<PROGRAM>,begin,0
<STMT_LIST>,id,1
<STMT_LIST>,end,2
<STMT_LIST>,write,1
<STMT_LIST>,read,1
<STMT_LIST>,if,1
<STMT_LIST>,else,2
<STMT_LIST>,while,1
<STMT_LIST>,int,1
<STMT>,id,8
<STMT>,write,3
<STMT>,read,4
<STMT>,if,5
<STMT>,while,6
<STMT>,int,7
<WRITE>,write,9
<READ>,read,10
<CONDITION>,if,11
<IF>,if,12
<ELSE>,end,14
<ELSE>,else,13
<LOOP>,while,15
<WHILE>,while,16
<DECLARE>,int,17
<ATTRIBUTION>,id,18
<EXP_OP>,tk_semicolon,34
<EXP_OP>,tk_closeparenthesis,34
<EXP_OP>,+,27
<EXP_OP>,-,28
<EXP_OP>,*,29
<EXP_OP>,/,30
<EXP_OP>,<,31
<EXP_OP>,>,32
<EXP>,id,19
<EXP>,integer,20
<EXP>,tk_openparenthesis,21
<STR_EXP>,string,22
<STR_OP>,tk_closeparenthesis,24
<STR_OP>,+,23
<OTHER_EXP>,id,25
<OTHER_EXP>,integer,25
<OTHER_EXP>,string,26
<OTHER_EXP>,tk_openparenthesis,25
